StationNames,Longitude,Latitude,Elevation
Chittagong (City-Ambagan),91.8,22.2167,5.5
Barisal,90.3667,23.7167,2.1
Bhola,90.65,22.6833,4.3
Bogra,89.3667,24.85,17.9
Chandpur,90.7,23.2333,4.88
Chittagong (IAP-Patenga),91.8167,22.35,33.2
Chuadanga,88.8167,23.65,11.58
Cox's Bazar,91.9667,21.45,2.1
Comilla,91.1833,23.4333,7.5
Dhaka,90.3833,23.7833,8.45
Dinajpur,88.6833,25.65,37.58
Faridpur,89.85,23.6,8.1
Feni,91.4167,23.0333,6.4
Hatiya,92,22.45,2.44
Ishurdi,89.3333,24.15,12.9
Jessore,89.3333,23.2,6.1
Khepupara,90.2333,21.9833,1.83
Khulna,89.5333,22.7833,2.1
Kutubdia,91.85,21.8167,2.74
Madaripur,90.1833,23.1667,7
Maijdee Court,92,22.8667,4.87
Mongla,89.6,22.4667,1.8
Mymensingh,90.4167,24.7333,18
Patuakhali,90.3333,22.3333,1.5
Rajshahi,88.7,24.3667,19.5
Rangamati,92.15,22.6333,68.89
Rangpur,89.2667,25.7333,32.61
Sandwip,91.4333,22.4833,2.1
Satkhira,89.0833,22.7167,3.96
Sayedpur,88.891,25.7877,39.6
Sitakunda,91.7,22.6333,7.3
Srimangal,91.7333,24.3,21.95
Sylhet,91.8833,24.9,33.53
Tangail,89.9333,24.25,10.2
Teknaf,92.3,20.8667,5
