Year,Month,LST
2000,2,25.26528244
2000,3,28.040311
2000,4,29.04372366
2000,5,27.27680546
2000,6,26.03762049
2000,7,25.97816813
2000,8,24.32582857
2000,9,25.38596294
2000,10,27.07596715
2000,11,27.29756593
2000,12,24.71047907
2001,1,22.64018811
2001,2,25.7726775
2001,3,29.63868874
2001,4,31.70952327
2001,5,27.69578969
2001,6,26.65189807
2001,7,25.32400438
2001,8,25.47289818
2001,9,26.78462506
2001,10,27.27003534
2001,11,26.50156398
2001,12,23.72183916
2002,1,23.35057885
2002,2,26.22959865
2002,3,28.90747579
2002,4,27.17257215
2002,5,26.6577383
2002,6,24.91760611
2002,7,23.70299666
2002,8,25.59832281
2002,9,28.13842171
2002,10,27.73833462
2002,11,26.64152262
2002,12,24.16091898
2003,1,21.3187818
2003,2,25.57138479
2003,3,27.34308735
2003,4,28.57635119
2003,5,27.76419268
2003,6,26.66946444
2003,7,25.35801075
2003,8,26.0007037
2003,9,26.51503054
2003,10,26.62054301
2003,11,26.76763603
2003,12,24.1124234
2004,1,21.91842346
2004,2,25.56727605
2004,3,29.50012566
2004,4,27.11796289
2004,5,29.01458961
2004,6,26.46462865
2004,7,24.99975647
2004,8,25.43173988
2004,9,27.09026225
2004,10,27.12276129
2004,11,26.49372862
2004,12,24.50020067
2005,1,22.0744092
2005,2,26.02210448
2005,3,28.55655803
2005,4,28.91004136
2005,5,27.30583209
2005,6,26.70044544
2005,7,25.50659553
2005,8,23.86680988
2005,9,27.98255049
2005,10,27.15412107
2005,11,26.06268267
2005,12,24.48529254
2006,1,22.65122351
2006,2,26.8854902
2006,3,29.92376117
2006,4,29.56876727
2006,5,29.31574262
2006,6,25.78640503
2006,7,25.39301391
2006,8,27.03907074
2006,9,27.99572576
2006,10,27.96169869
2006,11,26.60642754
2006,12,23.99534946
2007,1,21.88548016
2007,2,24.66331049
2007,3,29.1522876
2007,4,28.62707951
2007,5,29.91274161
2007,6,27.08435489
2007,7,24.79562646
2007,8,26.69922626
2007,9,26.96928923
2007,10,27.38483082
2007,11,26.89242389
2007,12,23.41546012
2008,1,22.65339996
2008,2,23.53331269
2008,3,27.55929499
2008,4,30.20406737
2008,5,28.76105084
2008,6,25.56136901
2008,7,25.65613783
2008,8,25.28143857
2008,9,27.49910434
2008,10,27.73627835
2008,11,26.80826084
2008,12,24.53144973
2009,1,23.5030316
2009,2,26.34565678
2009,3,28.32727274
2009,4,30.21455067
2009,5,29.1665053
2009,6,28.58204111
2009,7,26.07453164
2009,8,25.91479453
2009,9,27.4468018
2009,10,27.93310852
2009,11,26.54871093
2009,12,23.44031173
2010,1,22.55815237
2010,2,25.09943641
2010,3,29.89083745
2010,4,28.71023817
2010,5,27.32601948
2010,6,26.12146259
2010,7,25.96847349
2010,8,25.99474124
2010,9,25.84952363
2010,10,28.01850075
2010,11,26.78937883
2010,12,23.25959054
2011,1,21.17343365
2011,2,25.62132409
2011,3,28.4737873
2011,4,28.96894901
2011,5,27.41509614
2011,6,27.42874819
2011,7,25.47078258
2011,8,26.60884498
2011,9,26.20113245
2011,10,28.14771148
2011,11,26.66691831
2011,12,23.52777209
2012,1,22.22774787
2012,2,25.31222212
2012,3,27.943741
2012,4,28.92647804
2012,5,29.36619742
2012,6,27.00549005
2012,7,25.45961495
2012,8,26.07042127
2012,9,26.87215939
2012,10,27.82247116
2012,11,25.95719476
2012,12,22.53072963
2013,1,21.47482026
2013,2,26.28385716
2013,3,30.17315674
2013,4,31.00088424
2013,5,26.52083134
2013,6,27.69346533
2013,7,24.81386459
2013,8,26.0865677
2013,9,26.97663677
2013,10,27.13596443
2013,11,26.84977327
2013,12,23.46162598
2014,1,22.596677
2014,2,24.67199407
2014,3,28.83997611
2014,4,31.8896245
2014,5,30.34595765
2014,6,27.12463229
2014,7,25.79192708
2014,8,25.85121959
2014,9,26.74838065
2014,10,28.03459957
2014,11,26.85057994
2014,12,23.56789131
2015,1,22.81750128
2015,2,24.8489022
2015,3,29.40355372
2015,4,27.86125191
2015,5,28.09309769
2015,6,26.87994499
2015,7,26.8360767
2015,8,26.27828828
2015,9,28.06998379
2015,10,28.28259746
2015,11,27.14752962
2015,12,23.08266714
2016,1,21.8403029
2016,2,25.31866977
2016,3,28.70942594
2016,4,29.99267841
2016,5,28.4824604
2016,6,27.38304645
2016,7,26.49334924
2016,8,27.18715389
2016,9,27.09642223
2016,10,28.03680479
2016,11,26.90728913
2016,12,24.70531255
2017,1,23.38505192
2017,2,26.00469454
2017,3,27.00994502
2017,4,27.5168629
2017,5,28.62600669
2017,6,27.57361693
2017,7,26.08485301
2017,8,26.64432558
2017,9,26.73404341
2017,10,27.61700664
2017,11,26.58412817
2017,12,24.12569485
2018,1,21.33755452
2018,2,24.56267233
2018,3,28.7047287
2018,4,27.86450439
2018,5,26.59552285
2018,6,27.55077212
2018,7,25.73556287
2018,8,26.69609967
2018,9,27.4238218
2018,10,27.66907486
2018,11,26.55589642
2018,12,23.82834829
2019,1,23.40730591
2019,2,25.3295656
2019,3,28.0852444
2019,4,28.92666904
2019,5,29.02343348
2019,6,28.08209319
2019,7,25.12320506
2019,8,26.31332458
2019,9,27.15350374
2019,10,27.27805403
2019,11,27.00352115
2019,12,22.80603209
2020,1,21.54620357
2020,2,24.80741497
2020,3,28.79942104
2020,4,29.75876324
2020,5,28.83325086
2020,6,26.64075648
2020,7,26.24240777
2020,8,25.29838759
2020,9,26.84335154
2020,10,27.56098077
2020,11,27.0443998
2020,12,23.51450223
2021,1,22.91988446
2021,2,25.51086252
2021,3,28.81797001
2021,4,30.20172564
2021,5,30.23181315
2021,6,27.42823955
2021,7,26.00716158
2021,8,25.70260547
2021,9,27.78719689
2021,10,27.6671392
2021,11,26.70483321
2021,12,23.73220772
2022,1,21.84158837
2022,2,23.81080137
2022,3,29.25871076
2022,4,28.3076623
2022,5,27.79878115
2022,6,25.95091121
2022,7,27.15193463
2022,8,27.49528886
2022,9,27.14789304
2022,10,27.67187615
2022,11,26.81652484
2022,12,24.02273275
2023,1,22.01762467
2023,2,24.98517718
2023,3,27.32705504
2023,4,30.06500573
2023,5,30.11040185
2023,6,28.21251283
2023,7,26.59345987
2023,8,27.08405985
2023,9,26.76015629
2023,10,27.03296226
2023,11,26.70933187
2023,12,22.91432845
